Sample,Sample_type,unknown,Other,Balneolales,Propionibacteriales,Micrococcales,Flavobacteriales,Bacillales,Hyphomicrobiales,Mycobacteriales,Pseudomonadales,Burkholderiales,Enterobacterales,Moraxellales
PC639_s,swab,NA,0.18,NA,NA,NA,NA,NA,NA,NA,0.51,0.17,0.08,0.07
PC641_s,swab,NA,0.15,NA,NA,NA,NA,NA,0.07,0.09,0.18,0.09,0.34,0.09
PC680_s,swab,NA,0.08,NA,NA,NA,0.18,0.07,NA,0.18,0.05,0.05,0.39,NA
PC802_s,swab,NA,0.1,NA,NA,NA,0.12,NA,NA,NA,0.09,0.1,0.51,0.09
PC806_s,swab,NA,0.16,NA,NA,NA,0.06,NA,NA,NA,NA,NA,0.35,0.43
PC810_s,swab,NA,0.09,NA,NA,NA,0.14,NA,NA,NA,NA,NA,0.77,NA
PC823_s,swab,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.27
PC837_s,swab,0.05,0.37,NA,NA,0.09,0.16,NA,NA,NA,0.12,0.1,0.1,NA
PC839_s,swab,NA,0.27,NA,NA,0.08,0.11,NA,0.06,NA,0.08,0.11,0.18,0.12
PC842_s,swab,NA,0.27,NA,NA,0.07,0.11,NA,NA,NA,NA,0.06,0.42,0.08
PC846_s,swab,0.05,0.31,NA,NA,0.07,0.13,NA,0.07,NA,0.06,0.15,0.07,0.08
PC847_s,swab,NA,0.34,NA,NA,0.27,0.05,NA,NA,NA,NA,0.12,0.11,0.11
PC639_t,tissue,NA,0.12,NA,NA,NA,NA,NA,NA,0.11,NA,NA,0.78,NA
PC641_t,tissue,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA
PC680_t,tissue,NA,0.07,0.06,NA,0.05,NA,0.27,NA,0.31,NA,0.07,0.07,0.1
PC755_t,tissue,NA,0.18,NA,NA,0.06,0.06,NA,0.05,0.05,0.13,0.11,0.29,0.07
PC791_t,tissue,NA,0.07,NA,NA,NA,NA,0.05,NA,0.14,NA,NA,0.74,NA
PC801_t,tissue,NA,0.02,NA,NA,NA,NA,NA,NA,0.85,NA,NA,0.13,NA
PC802_t,tissue,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.05
PC806_t,tissue,NA,0.2,NA,0.08,NA,NA,NA,NA,NA,NA,NA,0.46,0.26
PC809_t,tissue,NA,0.11,NA,NA,NA,NA,0.42,NA,0.47,NA,NA,NA,NA
PC810_t,tissue,NA,0.1,NA,NA,NA,NA,0.12,NA,0.33,NA,NA,0.45,NA
PC814_t,tissue,NA,0.14,NA,NA,NA,0.06,0.28,NA,0.53,NA,NA,NA,NA
PC822_t,tissue,NA,0.11,NA,NA,NA,NA,NA,NA,NA,0.06,NA,0.76,0.07
PC823_t,tissue,NA,0.1,NA,NA,NA,NA,NA,NA,0.15,NA,NA,0.76,NA
PC828_t,tissue,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA
PC829_t,tissue,NA,0.12,NA,NA,NA,NA,NA,NA,0.05,NA,NA,0.82,NA
PC830_t,tissue,NA,0.11,NA,NA,NA,NA,NA,NA,0.12,NA,NA,0.77,NA
PC832_t,tissue,NA,0.18,NA,0.07,NA,NA,NA,NA,NA,NA,NA,0.76,NA
PC836_t,tissue,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA
PC837_t,tissue,NA,0.09,NA,NA,NA,NA,NA,NA,0.15,NA,NA,0.76,NA
PC839_t,tissue,NA,0.1,NA,NA,NA,NA,NA,NA,0.21,NA,NA,0.7,NA
PC842_t,tissue,NA,0.06,NA,NA,NA,NA,NA,NA,0.08,NA,NA,0.86,NA
PC846_t,tissue,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA
PC847_t,tissue,NA,0.05,NA,NA,NA,NA,0.14,NA,0.23,0.07,NA,0.52,NA
swab,swab,0.05,0.226,0,0,0.116,0.118,0.07,0.067,0.135,0.156,0.106,0.305,0.149
tissue,tissue,0,0.108,0.06,0.075,0.055,0.06,0.213,0.05,0.252,0.087,0.09,0.668,0.11
all,all,0.05,0.149,0.06,0.075,0.099,0.107,0.193,0.063,0.238,0.135,0.103,0.536,0.135
