Sample,Sample_type,unknown,Aves,Mammalia,Actinopteri,Lepidosauria,Amphibia,Chondrichthyes,Cladistia,Leptocardii
PC639_s,swab,0.270,0.030,0.590,0.110,NA,NA,NA,NA,NA
PC639_t,tissue,0.010,NA,0.020,0.970,NA,NA,NA,NA,NA
PC641_s,swab,0.020,0.020,0.900,0.070,NA,NA,NA,NA,NA
PC641_t,tissue,0.000,NA,0.000,0.990,NA,0.000,NA,NA,NA
PC680_s,swab,0.020,NA,0.930,0.050,0.000,NA,NA,NA,NA
PC680_t,tissue,0.010,NA,0.220,0.770,0.000,NA,NA,NA,NA
PC755_t,tissue,0.000,NA,0.020,0.970,NA,NA,0.000,NA,NA
PC791_t,tissue,0.000,0.000,0.100,0.900,0.000,0.000,NA,NA,NA
PC801_t,tissue,NA,NA,0.260,0.740,NA,NA,NA,NA,NA
PC802_s,swab,NA,NA,0.920,0.080,NA,NA,NA,NA,NA
PC802_t,tissue,0.000,0.000,0.010,0.990,NA,0.000,NA,NA,NA
PC806_s,swab,NA,NA,0.890,0.110,NA,0.000,NA,NA,NA
PC806_t,tissue,0.000,NA,0.010,0.990,0.000,0.000,0.000,0.000,NA
PC809_t,tissue,0.000,0.000,0.410,0.580,0.000,NA,NA,NA,NA
PC810_s,swab,0.050,0.010,0.910,0.040,NA,NA,NA,NA,NA
PC810_t,tissue,0.000,NA,0.320,0.680,0.000,0.000,NA,NA,NA
PC814_t,tissue,0.000,0.000,0.450,0.540,0.000,NA,NA,NA,NA
PC822_t,tissue,0.010,NA,0.010,0.990,0.000,NA,NA,NA,NA
PC823_s,swab,0.000,0.000,0.100,0.890,0.000,NA,NA,NA,NA
PC823_t,tissue,0.000,NA,0.010,0.990,NA,NA,NA,NA,NA
PC828_t,tissue,0.010,0.000,0.020,0.970,NA,NA,NA,NA,NA
PC829_t,tissue,0.000,NA,0.010,0.980,NA,0.000,0.000,NA,NA
PC830_t,tissue,0.000,NA,0.030,0.970,NA,0.000,NA,NA,NA
PC832_t,tissue,0.000,0.000,0.000,0.990,NA,NA,NA,NA,NA
PC836_t,tissue,0.010,0.000,0.030,0.960,NA,0.000,NA,NA,NA
PC837_s,swab,0.000,0.000,0.200,0.790,0.000,NA,0.000,NA,0.000
PC837_t,tissue,0.000,0.000,0.100,0.900,NA,NA,NA,NA,NA
PC839_s,swab,NA,0.000,0.080,0.920,NA,NA,NA,NA,NA
PC839_t,tissue,0.000,NA,0.240,0.760,0.000,NA,NA,NA,NA
PC842_s,swab,NA,NA,0.020,0.980,NA,NA,0.000,NA,NA
PC842_t,tissue,0.000,NA,0.030,0.960,NA,NA,NA,NA,NA
PC846_s,swab,0.010,0.000,0.140,0.850,0.000,NA,0.000,NA,NA
PC846_t,tissue,NA,0.000,0.010,0.990,NA,NA,NA,NA,NA
PC847_s,swab,0.020,NA,0.600,0.380,NA,NA,NA,NA,NA
PC847_t,tissue,0.000,0.010,0.130,0.860,NA,NA,NA,NA,NA
swab,swab,0.037,0.013,0.405,0.563,0.000,0.000,0.000,NA,NA
tissue,tissue,0.006,0.002,0.168,0.824,0.000,0.000,0.000,0.000,0.000
all,all,0.015,0.004,0.249,0.735,0.000,0.000,0.000,0.000,0.000
