sample,ID,type,O(HOM),E(HOM),N_SITES,O(HET),H(O),F,present_loci,missing_loci,n_loci,n_used_fw_reads,used_reads_log,mean_cov,mean_cov_ns,frequency_missing
PC639_s,PC639,swabs,254126,188699,260824,6698,0.026,0.90713,104281,47576,174430,3084802,6.49,17.685,27.183,0.3133
PC641_s,PC641,swabs,236504,175766,242657,6153,0.025,0.90802,88999,62858,259089,1846112,6.27,7.125,16.276,0.4139
PC680_s,PC680,swabs,225695,168635,231794,6099,0.026,0.90343,83744,68113,120625,1328366,6.12,11.012,14.248,0.4485
PC806_s,PC806,swabs,179822,133885,183530,3708,0.02,0.92531,59880,91977,153585,636575,5.8,4.145,7.513,0.6057
PC810_s,PC810,swabs,228496,170990,235606,7110,0.03,0.88997,83923,67934,125961,1656443,6.22,13.15,18.32,0.4474
PC823_s,PC823,swabs,245699,180787,249740,4041,0.016,0.94139,112582,39275,310588,6443124,6.81,20.745,48.669,0.2586
PC837_s,PC837,swabs,268061,196313,271549,3488,0.013,0.95364,123533,28324,391762,3353300,6.53,8.56,19.49,0.1865
PC839_s,PC839,swabs,246181,180736,250405,4224,0.017,0.93937,97604,54253,252119,2522617,6.4,10.006,21.4,0.3573
PC842_s,PC842,swabs,249446,185041,256628,7182,0.028,0.89968,111795,40062,263333,4986338,6.7,18.935,39.29,0.2638
PC846_s,PC846,swabs,267428,195068,269941,2513,0.009,0.96644,115457,36400,304423,3416099,6.53,11.222,23.493,0.2397
PC847_s,PC847,swabs,264967,192781,267101,2134,0.008,0.97129,114426,37431,321334,3476597,6.54,10.819,23.722,0.2465
PC639_t,PC639,tissue,253979,188699,260824,6845,0.026,0.9051,116617,35240,257510,4953884,6.69,19.238,36.784,0.2321
PC641_t,PC641,tissue,237534,175766,242657,5123,0.021,0.92341,117884,33973,213734,5712912,6.76,26.729,43.593,0.2237
PC680_t,PC680,tissue,229147,168635,231794,2647,0.011,0.95809,111981,39876,232576,4924741,6.69,21.175,37.65,0.2626
PC806_t,PC806,tissue,180236,133885,183530,3294,0.018,0.93365,120930,30927,256419,7879692,6.9,30.73,57.39,0.2037
PC810_t,PC810,tissue,228041,170990,235606,7565,0.032,0.88292,110169,41688,227295,5818112,6.76,25.597,46.459,0.2745
PC823_t,PC823,tissue,245697,180787,249740,4043,0.016,0.94137,105950,45907,212931,4358489,6.64,20.469,37.049,0.3023
PC837_t,PC837,tissue,269077,196313,271549,2472,0.009,0.96714,124572,27285,293630,6122838,6.79,20.852,39.819,0.1797
PC839_t,PC839,tissue,245205,180736,250405,5200,0.021,0.92536,107604,44253,208984,3791610,6.58,18.143,31.319,0.2914
PC842_t,PC842,tissue,252601,185041,256628,4027,0.016,0.94375,106485,45372,209952,3502784,6.54,16.684,29.317,0.2988
PC846_t,PC846,tissue,267802,195068,269941,2139,0.008,0.97143,121150,30707,279838,6200204,6.79,22.156,43.318,0.2022
PC847_t,PC847,tissue,261472,192781,267101,5629,0.021,0.92426,120223,31634,291431,4979752,6.7,17.087,34.702,0.2083
