Sample,Prot_Length,Population,Swab,DNA_swab,sequenced,conc>5,conc>20,conc>24
Dole_1,17.2,Dolenjska,yes,9.9,no,TRUE,FALSE,FALSE
Dole_10,16.5,Dolenjska,yes,74.2,yes,TRUE,TRUE,TRUE
Dole_2,19.9,Dolenjska,yes,116,no,TRUE,TRUE,TRUE
Dole_3,24,Dolenjska,yes,94,no,TRUE,TRUE,TRUE
Dole_4,20.6,Dolenjska,yes,49.4,no,TRUE,TRUE,TRUE
Dole_5,21,Dolenjska,yes,93.4,no,TRUE,TRUE,TRUE
Dole_6,22.5,Dolenjska,yes,78,no,TRUE,TRUE,TRUE
Dole_7,23.5,Dolenjska,yes,23.9,no,TRUE,TRUE,FALSE
Dole_8,11,Dolenjska,yes,33.2,no,TRUE,TRUE,TRUE
Dole_9,18,Dolenjska,yes,12.4,no,TRUE,FALSE,FALSE
Kraj_1,24.5,Krajina,yes,11.1,no,TRUE,FALSE,FALSE
Kraj_2,24.3,Krajina,yes,11.9,no,TRUE,FALSE,FALSE
Kraj_4,14,Krajina,yes,41.6,yes,TRUE,TRUE,TRUE
Kraj_5,15.5,Krajina,yes,40,no,TRUE,TRUE,TRUE
Kraj_6,13,Krajina,yes,7.3,no,TRUE,FALSE,FALSE
Kraj_7,9.5,Krajina,yes,14.3,no,TRUE,FALSE,FALSE
Kraj_9,9.5,Krajina,yes,3.2,no,FALSE,FALSE,FALSE
Kras_1,15,Kras,yes,4.6,no,FALSE,FALSE,FALSE
Kras_2,14,Kras,yes,9.1,yes,TRUE,FALSE,FALSE
Kras_3,16,Kras,yes,3.4,no,FALSE,FALSE,FALSE
Kras_4,12,Kras,yes,7,no,TRUE,FALSE,FALSE
Kras_5,14,Kras,yes,7.8,yes,TRUE,FALSE,FALSE
Ljub_10,30,Ljubljanica,yes,7.5,no,TRUE,FALSE,FALSE
Ljub_11,25,Ljubljanica,yes,3.7,no,FALSE,FALSE,FALSE
Ljub_2,9.5,Ljubljanica,yes,12.3,yes,TRUE,FALSE,FALSE
Ljub_3,18,Ljubljanica,yes,8.3,no,TRUE,FALSE,FALSE
Ljub_4,6.8,Ljubljanica,yes,3.4,no,FALSE,FALSE,FALSE
Ljub_5,25.5,Ljubljanica,yes,26.1,yes,TRUE,TRUE,TRUE
Ljub_6,21.5,Ljubljanica,yes,8.2,no,TRUE,FALSE,FALSE
Ljub_7,18.5,Ljubljanica,yes,4.5,no,FALSE,FALSE,FALSE
Ljub_8,20.5,Ljubljanica,yes,28.6,yes,TRUE,TRUE,TRUE
Ljub_9,17,Ljubljanica,yes,21.5,yes,TRUE,TRUE,FALSE
Para_12,17.2,Paralittoral,yes,2.8,no,FALSE,FALSE,FALSE
Para_13,19.5,Paralittoral,yes,120,no,TRUE,TRUE,TRUE
Para_14,12.5,Paralittoral,yes,104,yes,TRUE,TRUE,TRUE
Para_15,21,Paralittoral,yes,28.8,yes,TRUE,TRUE,TRUE
Park_1,4.3,Parkelj,yes,4.2,no,FALSE,FALSE,FALSE
Park_10,NA,Parkelj,yes,19.8,yes,TRUE,FALSE,FALSE
Park_11,24,Parkelj,yes,37.1,yes,TRUE,TRUE,TRUE
Park_15,7.8,Parkelj,yes,28.3,no,TRUE,TRUE,TRUE
Park_2,5.8,Parkelj,yes,8.3,no,TRUE,FALSE,FALSE
Park_3,3.6,Parkelj,yes,7.8,no,TRUE,FALSE,FALSE
Park_4,3.9,Parkelj,yes,11.5,no,TRUE,FALSE,FALSE
Park_5,4.4,Parkelj,yes,21,no,TRUE,TRUE,FALSE
Park_6,4,Parkelj,yes,18.4,no,TRUE,FALSE,FALSE
Park_7,4.5,Parkelj,yes,3.8,no,FALSE,FALSE,FALSE
Park_8,4.3,Parkelj,yes,5.5,no,TRUE,FALSE,FALSE
Park_9,3.9,Parkelj,yes,6.6,no,TRUE,FALSE,FALSE
Stic_1,27,Sticna,yes,18.3,no,TRUE,FALSE,FALSE
Stic_10,17,Sticna,yes,72.4,no,TRUE,TRUE,TRUE
Stic_11,18.5,Sticna,yes,27.5,no,TRUE,TRUE,TRUE
Stic_12,21.5,Sticna,yes,97.4,no,TRUE,TRUE,TRUE
Stic_13,20.5,Sticna,yes,6.1,no,TRUE,FALSE,FALSE
Stic_2,18,Sticna,yes,86.8,yes,TRUE,TRUE,TRUE
Stic_3,17.5,Sticna,yes,30.1,no,TRUE,TRUE,TRUE
Stic_4,14.5,Sticna,yes,97.2,yes,TRUE,TRUE,TRUE
Stic_5,25.5,Sticna,yes,38.4,no,TRUE,TRUE,TRUE
Stic_6,16.5,Sticna,yes,18.5,no,TRUE,FALSE,FALSE
Stic_7,19,Sticna,yes,4.5,no,FALSE,FALSE,FALSE
Stic_8,14.5,Sticna,yes,43.4,no,TRUE,TRUE,TRUE
Stic_9,18.5,Sticna,yes,40.5,no,TRUE,TRUE,TRUE
