Sample,Sample_type,Bacteria,Eukaryota,Viruses,Archaea
PC639_s,swab,0.98,0.02,NA,0
PC641_s,swab,0.85,0.14,0.01,0.01
PC680_s,swab,0.82,0.18,0,NA
PC802_s,swab,0.99,0.01,0,0
PC806_s,swab,0.98,0.01,0,0
PC810_s,swab,0.99,0,0,0
PC823_s,swab,0.57,0.43,0,0
PC837_s,swab,0.71,0.28,0,0.01
PC839_s,swab,0.58,0.42,0,0
PC842_s,swab,0.48,0.52,0,0
PC846_s,swab,0.87,0.13,0,0
PC847_s,swab,0.84,0.16,0,0
PC639_t,tissue,0.23,0.77,NA,NA
PC641_t,tissue,0.19,0.81,0,NA
PC680_t,tissue,0.07,0.93,0.01,NA
PC755_t,tissue,0.42,0.57,0,0
PC791_t,tissue,0.21,0.79,0,NA
PC801_t,tissue,0.24,0.76,NA,NA
PC802_t,tissue,0.19,0.81,0,NA
PC806_t,tissue,0.36,0.64,0,0
PC809_t,tissue,0.19,0.79,0.01,NA
PC810_t,tissue,0.23,0.77,0,NA
PC814_t,tissue,0.19,0.81,0,NA
PC822_t,tissue,0.26,0.74,NA,NA
PC823_t,tissue,0.21,0.79,0,0
PC828_t,tissue,0.21,0.79,NA,NA
PC829_t,tissue,0.2,0.8,0,NA
PC830_t,tissue,0.24,0.76,0,NA
PC832_t,tissue,0.19,0.81,0,NA
PC836_t,tissue,0.22,0.78,0,NA
PC837_t,tissue,0.31,0.69,0,NA
PC839_t,tissue,0.27,0.72,0,NA
PC842_t,tissue,0.3,0.7,NA,NA
PC846_t,tissue,0.2,0.8,0,NA
PC847_t,tissue,0.23,0.77,0,NA
swab,swab,0.805,0.192,0.001,0.002
tissue,tissue,0.233,0.765,0.001,0
all,all,0.429,0.569,0.001,0.001
